Stadt Heilbronn - Stabsstelle Stadtentwicklung und Zukunftsfragen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Einwohner in den Heilbronner Stadtteilen nach demographischen Merkmalen zum 31.12.2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Religionszugehörigkeit,,,Familienstand,,,,,Geschlecht,,Zuwanderungsgeschichte,,,Altersgruppen 08,,,,,,,,Gesamt,Einwohnerzahl vergangener Jahre,,,,,,Fläche in km²
Stadtteile,,evangelisch,römisch-katholisch,sonstige/keine Religion,ledig,verheiratet,verwitwet,geschieden,unbekannt / sonstiger Fam.-stand,männlich,weiblich,Deutsch ohne Zuwanderungsgeschichte,Deutsch mit Zuwanderungsgeschichte,nichtdeutsch,0 bis unter 6 Jahre,6 bis unter 10 Jahre,10 bis unter 18 Jahre,18 bis unter 25 Jahre,25 bis unter 40 Jahre,40 bis unter 65 Jahre,65 bis unter 85 Jahre,85 Jahre und älter,,1990,1995,2000,2005,2010,2015,
001,HN-Innenstadt,7.168,6.227,19.439,15.427,12.382,1.937,3.029,59,16.603,16.231,12.655,8.364,11.815,1.972,1.154,2.233,3.266,8.605,9.937,4.877,790,32.834,29.470,29.009,28.071,28.864,29.516,32.141,"4,52"
002,HN-Äussere Bezirke,8.411,5.590,14.030,12.032,12.169,1.675,2.121,34,14.103,13.928,14.240,7.095,6.696,1.644,1.127,2.308,2.432,5.980,9.151,4.594,795,28.031,25.190,27.654,24.708,25.486,26.036,27.873,"26,85"
003,Böckingen,7.293,5.127,10.458,9.085,10.422,1.597,1.750,24,11.284,11.594,10.429,7.014,5.435,1.349,812,1.751,1.746,4.804,7.678,4.068,670,22.878,22.506,21.837,21.719,21.424,21.282,22.693,"11,30"
004,Neckargartach,3.156,2.142,4.431,3.960,4.437,572,744,16,4.963,4.766,4.774,2.709,2.246,555,373,730,786,2.082,3.336,1.643,224,9.729,8.869,9.890,9.440,9.331,9.278,9.571,"11,26"
005,Sontheim,3.753,3.111,5.174,5.004,5.247,919,862,6,5.903,6.135,5.651,4.123,2.264,614,446,866,1.313,2.388,3.850,2.090,471,12.038,9.415,10.864,11.311,11.369,11.427,11.791,"7,45"
006,Klingenberg,915,421,1.038,931,1.183,131,124,5,1.190,1.184,1.333,639,402,154,95,219,190,413,814,433,56,2.374,2.098,2.033,1.974,2.089,2.200,2.283,"2,72"
007,Frankenbach,2.295,1.151,2.234,2.040,2.860,369,405,6,2.822,2.858,3.354,1.501,825,274,195,400,386,1.042,2.025,1.212,146,5.680,5.887,5.894,5.710,5.637,5.554,5.693,"8,91"
008,Kirchhausen,1.153,1.560,1.198,1.506,1.962,224,218,1,1.981,1.930,2.609,860,442,238,166,339,282,743,1.373,717,53,3.911,3.536,3.446,3.787,3.852,3.720,3.809,"11,47"
009,Biberach,2.001,1.400,1.619,1.822,2.597,303,296,2,2.543,2.477,3.425,1.011,584,279,175,347,372,993,1.757,1.002,95,5.020,4.833,4.675,4.613,5.031,4.971,5.078,"10,55"
010,Horkheim,1.771,851,1.440,1.538,1.963,263,296,2,1.965,2.097,2.888,760,414,212,130,262,306,758,1.509,801,84,4.062,3.620,4.030,4.137,4.094,4.045,4.102,"4,86"
Gesamt,,37.916,27.580,61.061,53.345,55.222,7.990,9.845,155,63.357,63.200,61.358,34.076,31.123,7.291,4.673,9.455,11.079,27.808,41.430,21.437,3.384,126.557,115.424,119.332,115.470,117.177,118.029,125.034,"99,89"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quelle: Kommunales Melderegister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinweis: Die Ziffern 001 und 002 bilden zusammen die Heilbronner Kernstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
